,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Ercc6l2,0.0,12.7391815,0,766.46576,798.69324,0.95964974,False,0.1800179067269871,-0.09761811060948171,0.5701832,0.13952824079810927,0.2580962017463542
Gm47424,0.0,0.011855365,0,0.071033746,0.0605055,1.1740048,False,0.00019121734112300903,-2.3200356388399768,-1.2770537,0.000182619692796214,0.004058438917927313
Slc35d2,0.0,12.263189,0,893.0232,767.3023,1.1638479,False,0.17833312173835247,0.29960023998330637,0.9003446,0.12897020287386934,0.2754535358152281
Zfp367,0.0,8.692946,0,442.40744,535.30774,0.82645434,False,0.12704641192777527,-0.3258070018130021,0.38051638,0.10292050589940414,0.198453838044211
Habp4,0.0,10.277415,0,709.1638,637.314,1.1127385,False,0.1469155774528496,0.029649737845791314,0.6759662,0.10949534030645348,0.24485683030018027
Cdc14b,0.0,7.923533,0,486.73972,486.56784,1.0003532,False,0.11825522312563538,0.05186666337100742,0.69443256,0.08832466029037347,0.21634858044827132
1810034E14Rik,0.0,0.44516894,0,17.12733,17.562569,0.9752178,False,0.006876152575740244,-0.5351953040545846,0.20647626,0.005585815354778687,0.04584990145581448
Prxl2c,0.0,28.5163,0,1695.875,1903.7532,0.89080614,False,0.3681812173487287,-0.16934285594036458,-0.41134244,0.30275391407796975,0.3387553931887234
Gm47003,0.0,0.31475994,0,6.9263716,11.284032,0.6138206,False,0.005847243414728261,-0.7216227544429874,0.051520824,0.004924340558350733,0.03893208719680979
Ctsl,1.0,290.08774,1,114040.58,51455.066,2.216314,True,1.7356804958756706,1.823134663621974,1.2785507,1.4235872399113654,0.7661842585541186
Gm47123,0.0,0.007113219,0,0.021301685,0.022721985,0.93749225,False,0.00010902588488902843,-3.0478615631742643,-1.8820107,0.00010654643050136315,0.002204480596389706
Cdk20,0.0,5.133373,0,371.70285,315.1343,1.1795062,False,0.07413609200775415,0.020128565838495725,0.6680524,0.053806969716068576,0.17882178257189202
Gm47193,0.0,0.16301127,0,0.19345902,4.819299,0.040142562,False,0.0024941307962856388,-3.8155906261666894,-2.5201344,0.002467384353096656,0.007275944587144538
Cntnap3,1.0,0.47480735,1,51.245956,19.058737,2.5359209,False,0.007836633177379973,0.5318725607130534,1.0934056,0.004864957468349085,0.06372843871383864
Mfsd14b,0.0,35.87967,0,2195.3608,2536.1714,0.8656201,False,0.4436552671026727,-0.028276342983972722,-0.07800973,0.3613913707810045,0.38271411420632784
Gm36445,0.0,3.4024897,0,198.39128,200.86589,0.9876803,False,0.05279782626421811,0.0030834779536853896,0.65388477,0.04018076181702416,0.13866033289762436
Gm47251,0.0,0.10017783,0,2.9905515,2.5295393,1.1822515,False,0.0018461493045082355,-0.6544567932097425,0.10734807,0.0015063908089298311,0.02399702729503418
Gm10775,0.0,0.02015412,0,0.6081345,0.16706266,1.0098388,False,0.00025738787777821934,-0.9741283646350213,-0.1583577,0.00021888784916222965,0.008283561121456815
Zfp369,0.0,14.3645525,0,729.03253,904.88794,0.80566055,False,0.2068414429143262,-0.19058692564026186,0.4929091,0.165121664272972,0.2644874450690401
